"X_id","blueWins"
"KR_5515314170",1
"KR_5516312518",0
"KR_5515222056",0
"KR_5517608145",0
"KR_5492653284",1
"KR_5515225845",1
"KR_5502280984",0
"KR_5515477993",0
"KR_5517505773",1
"KR_5517337773",1
"KR_5507067141",0
"KR_5514824459",1
"KR_5517365960",1
"KR_5517696565",1
"KR_5502388879",1
"KR_5505682938",0
"KR_5508146759",1
"KR_5517358157",0
"KR_5500395262",0
"KR_5508752669",1
"KR_5509978411",1
"KR_5514028565",1
"KR_5514438542",0
"KR_5491120100",0
"KR_5511470475",0
"KR_5517463572",1
"KR_5509982426",0
"KR_5497125840",0
"KR_5498097789",1
"KR_5508934117",0
"KR_5513958671",0
"KR_5515377371",0
"KR_5515217125",0
"KR_5515351291",1
"KR_5515469461",0
"KR_5516082432",1
"KR_5517278172",1
"KR_5514011844",1
"KR_5506090625",1
"KR_5512418916",0
"KR_5516800898",0
"KR_5509394515",1
"KR_5516350724",1
"KR_5517336179",0
"KR_5517429866",0
"KR_5515128678",0
"KR_5511536103",0
"KR_5480222743",1
"KR_5508676732",1
"KR_5514756837",1
"KR_5514660401",1
"KR_5515312526",1
"KR_5514786704",0
"KR_5517051962",0
"KR_5515016303",1
"KR_5462760184",0
"KR_5513197441",1
"KR_5517024859",0
"KR_5515308193",1
"KR_5502377592",0
"KR_5512503179",1
"KR_5513264640",0
"KR_5046635176",1
"KR_5508388335",0
"KR_5517332238",0
"KR_5516366476",0
"KR_5517318458",1
"KR_5516168462",0
"KR_5515286419",0
"KR_5516194414",0
"KR_5516216880",0
"KR_5517309894",0
"KR_5510908212",0
"KR_5517340257",0
"KR_5517276129",0
"KR_5517295897",0
"KR_5501161512",0
"KR_5506599799",0
"KR_5517321198",0
"KR_5516858459",1
"KR_5506954001",0
"KR_5508772698",1
"KR_5509810681",0
"KR_5504575273",1
"KR_5514779688",0
"KR_5516590281",1
"KR_5517456820",0
"KR_5508858055",0
"KR_5511213040",1
"KR_5517360918",1
"KR_5513071788",0
"KR_5514729407",1
"KR_5512273629",1
"KR_5511378760",0
"KR_5417763444",1
"KR_5510353911",0
"KR_5497115016",1
"KR_5515099767",1
"KR_5514980933",0
"KR_5514928260",0
"KR_5514799848",1
"KR_5513622686",0
"KR_5516424259",1
"KR_5517172125",0
"KR_5509839462",1
"KR_5516209945",0
"KR_5516383777",0
"KR_5517142331",0
"KR_5512789416",0
"KR_5516570708",0
"KR_5513473542",0
"KR_5515095176",0
"KR_5495716536",1
"KR_5502148376",1
"KR_5509774574",0
"KR_5511284813",1
"KR_5514945520",1
"KR_5504956715",0
"KR_5505269514",0
"KR_5510062561",0
"KR_5513456454",0
"KR_5515014910",0
"KR_5517003870",0
"KR_5517449678",1
"KR_5513874614",0
